,Id,roberta_neg,roberta_neu,roberta_pos,Review,Stars,Label
0,1,0.39873433,0.48008606,0.1211796,"I purchased 4 of these toilets for my new house. The pool of water in the bowl of 3 of them is very small, often resulting in solid waste being smeared well above the water line, where flushing will not easily remove it! One of the four toilets does have a ""normal sized"" pool of water. It is clear that it was not manufactured along with the other 3, it has different printing in the tank, despite having the same SKU number. I have included photos of both variations and their markings.",1,Neutral
1,2,0.9567763,0.03826791,0.0049557765,"I recently bought the chair height, elongated toilet. This is the second one I bought, as I have one in my other bathroom I bought about 4 years ago. Since I didn’t have any issues with the first one I purchased another. Bad decision. The quality has really declined, cheap, flimsy seating and lid that will not stay connected, does not line up. Very disappointed ☹️ I guess this is why the toilets are displayed so high so you cannot check them out before you buy!",2,Negative
2,3,0.048322733,0.15398908,0.7976881,Nice color and sits at a great height for getting up and down Not happy with low water level...but its a water saving thing...so all in all its a good toilet....I didnt like the plastic seat so I changed it out for the one you see in the picture : )),4,Positive
3,4,0.002066779,0.016568778,0.9813644,"This toilet is a great value and looks and performs perfectly. It is high efficiency, quiet, and attractive.",5,Positive
4,5,0.0113312295,0.08112065,0.9075481,"Looks good - Easy install with no issues. The included wax seal has a plastic insert, no need to buy “no wax seal”’ that’s too high. Slight ceramic imperfection under seat lid. Flushes well - hold longer for solids. Seat is little cheap but works.",4,Positive
5,6,0.9751115,0.021406868,0.0034816882,Terrible product. Bowl won't stay full and the flushing power is WEAK. Unable to return now that installed. Home Depot should be ashamed at carrying such a horrible product. All the negative reviews have already covered the issues. Seat won't stay up.,1,Negative
6,7,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
7,8,0.027371384,0.1441645,0.8284641,"Very elegant in appearance and it is very comfortable. It was a little darker than I expected. I was trying to match what I was told was an almond colored tub but it works blends well with the other colors in my new bathroom. I cannot comment on the assembly because I had it professionally installed. However, I did not hear any complaints from the installer. It looks exactly like the picture. My only complaint, if you can call it a complaint is that sometimes I’ve noticed you may have to flush twice to ensure everything goes down. If it’s all liquids it all goes down with one flush. Ive only had it 1 month and so far no leaks and no other issues. I’m happy with my purchase.",4,Positive
8,9,0.93004525,0.0647777,0.005177086,This toilet is way to high. The actual measurements do not match what the box says.,1,Negative
9,10,0.95030594,0.045736186,0.0039578048,"The first thing I noticed were several holes in the porcelain on the front of the toilet bowl. See images. It would have been too much trouble to put everything back in the box and return it to the store. This unit should have never left the factory. Quality Control? Also, no matter what I do, I cant get the seat to stay up.",1,Negative
