,Id,roberta_neg,roberta_neu,roberta_pos,Review,Stars,like,dislike,Label
0,1,0.4963925,0.39047065,0.11313686,It looks like I got the same mislabeled box as others that purchased these. The box states “slow close seat” and the lids are not slow close. I sent a message on American Standards web site a week ago with no response so far. And I bought four toilets! Hopefully they will respond soon!,4,16,0,Negative
1,2,0.02734259,0.1822622,0.7903952,"While the Lowe’s product description does NOT say slow-close seat, the package/box does. I would appreciate accurate packaging; it’s a show of integrity. Otherwise, the unit was in perfect condition and works perfectly with easy installation. A good unit for anyone and middle-of-the-road styling. For any newbie to toilets: install is the easy part; getting your old toilet out (seized bolts, degraded seals making the water stain anything it touches, old wax and/or caulk) and cleaning up the mes...",5,12,2,Positive
2,3,0.90723324,0.079651244,0.013115501,"I bought this because my research showed that American Standard made the best toilet for the price. The install did not go well, and I hired a plumber to do the work! But, my real complaint is that there is black soot leeching from the toilet seats/covers. Every time I go in the bathroom, I see more black soot. What is that?? I wipe it off with a tissue and when I return the next time, it’s back again.",3,7,5,Negative
3,4,0.5835963,0.34097382,0.07542994,"Since this toilet was brand new, it was slow to flush. We had to hold the handle down a couple seconds to get it to flush all the way. It’s supposed to be able to flush elephant turds but, nah, it’s just a regular toilet. Once we’d had it for maybe a year, it started to intermittently run. It got worse and worse, then eventually we received a letter from the city, saying we appeared to have a water leak… somewhere. Well, that’s where. So, before we drained the reservoir, we read a bunch of diagnostic stuff online and the consensus was to replace the flush valve. So we ordered one and replaced it. It doesn’t leak anymore… for now. But check this out. The silicone seal under the flapper cover was blown up like a balloon in a spot, making it impossible to have sealed. I’ll try to add a photo of the crazy flush valve and flapper seal. So, keep in mind if you buy this toilet, 169 bucks sounds like a good deal, especially if it can flush a bucket of golf balls. But In a year you might need a plumber to replace the bloated flush valve to the tune of $250, plus all the water it wasted before you reached critical mass!",2,4,1,Negative
4,5,0.41034052,0.53951156,0.050147943,It says it's a slow close lid right on the box. It's not.,3,24,5,Neutral
5,6,0.0016359105,0.023673834,0.9746902,I decided to replace my round toilet with oblong one and it’s actually more comfortable and this one is a bit higher. I’m happy with it and I’m glad I made the change.,5,23,6,Positive
6,7,0.0030112383,0.061591636,0.93539715,"It was easy to order on-line, and easy to pick-up.",5,3,2,Positive
7,8,0.7331531,0.22383533,0.043011554,The chair is a bit high. The elongated seat could be more comfortable. The flush is kind of weak. And I wish the seat was wood instead of plastic. The toilet overall is just ok.,3,11,32,Negative
8,9,0.007249065,0.10729462,0.8854563,Install was easy....everything provided and fit.,5,3,0,Positive
9,10,0.6747114,0.27319115,0.05209741,"needed for installation, just like it says on the box, except the wax ring, the floor bolts, the tank to bowl hardware. The box looked to be undisturbed, but many items were missing. I had no time for messing around so I just bought the stuff I needed and got on with it, but come on; where's the quality control?",3,38,6,Negative
10,12,0.78723717,0.17583866,0.03692413,"I self-installed two model 734AA.101.020 toilets in my home to replace poorly performing 1.6 gpf builder grade toilets from 2001. Most important to know is that the American Standard Mainstream toilet does the job in one flush, and an added surprise bonus, it does so quietly. The boxes from Lowes were sealed, with no evidence of rough handling. Upon box opening, the toilet had not been damaged, and nothing was missing. Each box clearly states that it is furnished with a slow-close seat. The American Standard website for this model says the same... It is NOT furnished with that seat. Called the A.S. Customer Service line at 855-815-0004 and got the correct slow-close seats a week later. Easy fix! I throughly read the instructions, which in my opinion were well written and clearly illustrated. Over the years, I have installed more than a few new toilets... So this was not my first time doing this and I did not expect the install to go perfectly. The first toilet install was the learning curve. The second had the same identical issues, but went quicker because I knew to look for them... Two issues arose during both installs, that in my humble opinion, should not have happened. I took the extra step of trial fitting the bottom toilet half over the flange (sans wax ring), to check rough-in clearance... To uncover that the base rocked front to back. Sigh. Turns out that the toilet has an arc shaped 'feature' in front of the outlet port that protrudes ~1/8"" below the perimeter base, causing the rocking. In my case, I chose to modify my tile floor, by very carefully removing tile in the arc shaped area of interference. Repeated the dry fit process, until the rocking stoped. Success! The base was now rock solid. Onto carefully installing the tank... Which at first try, leaked under one of the rubber washer/tank bolt. After cleaning out/drying the tank, I discovered porcelain burrs and protruding sharp edges at both of the two tank bolt holes... The very spot where the rubber washer is supposed to seal. Sigh! At this point, I chose to see if I could carefully deburr and remove the sharp edges inside the tank at these two bolt holes... Long story short, it worked. Re-installed the tank without leaks. Hopefully, American Standard reads these reviews and ultimately fixes the quality of their products. Ultimately, I like these: The install issues were not that difficult to overcome. The toilets work way better than what they replaced. To boot, American Std Customer Service reps were easy to work with... Nice.",4,31,0,Negative
11,13,0.076623276,0.2653305,0.65804625,"Not smooth white porcelain around the bowl. Flushes well though. Lowes only gave 10% off. Not Feasible to return an installed toilet. Unhappy customer. Won’t buy this brand or shop at Lowe’s anymore. Toilet works ok though, just bad QC all around. There’s a small gray mark in the bowl itself too.",2,3,1,Positive
12,14,0.09005209,0.19424461,0.7157033,"First, I want to mention I had a *horrible* experience with Lowes Installation services, but my review is for the toilet only. As just mentioned, I paid for Lowes installation and the installer was fine once he showed up. The 'complete toilet in a box' was fine with everything included. I like the extra height (about 1 inch higher than standard) and it is (so far) functioning well after a month of daily use. No leaks or cracks. The plumber had no issues. He recommended a second wax seal which he provided for free stating that the one included was too thin and would not last that long. This toilet has a strong flush and I'm happy to see that the interior fill valve is quiet and has an 'old style' flapper not the piston design which American Standard has a class action lawsuit due to a leaking seal. Maybe they changed the design and I got lucky because I did not know this until after I researched AS toilets. If this lasts, it was a good purchase at the price and I will recommend it after a month of daily use. Also, no slow close seat was included. That's not a deal breaker for me, but it was stated on the box. I will not bother to contact AS for a replacement.",4,11,0,Positive
13,15,0.7964822,0.17193569,0.03158212,"The toilet itself is excellent. Great height, pretty quiet operation, and easy install. The only negative was that wax ring was packed in a way that it came damaged. I was planning on a temporary install and reinstalling with a new ring anyway, but the included ring would never last long.",4,8,0,Negative
14,16,0.9293794,0.06231081,0.008309823,"Toilet itself works well enough, but it did NOT come with a slow-close lid. The box says it right on there. At this price point, having to pay $30-$40 more for the correct lid puts it in the range of much nicer toilets I could have purchased. This coupled with other reviews tells me that there are several QA issues at American Standard and I will not be purchasing this brand anymore.",3,11,2,Negative
15,17,0.0058287126,0.04634475,0.94782656,"Recently bought two of this style of American Standard toilets to install in my home. I was very unhappy to discover that the hardware necessary to attach the toilet to the base was incomplete. My handiman had to return to Lowe's to purchase the necessary bolts, washers, etc., which American Standard sells as an accessory to their toilets. That second trip to Lowe's doubled what I was charged to install the toilets. What a stupid design flaw. Buy Kohler.",3,10,3,Positive
16,18,0.06649583,0.17936656,0.7541376,"I like this toilet it is very sleek, saves on water and is taller than my old one which was too low. The bathroom seemed to have been designed for children. It is chair height which is great for older people like myself.",5,7,0,Positive
17,19,0.043854788,0.26483077,0.69131446,"Hard to understand the negative reviews. Nowhere did it say a ""slow close lid."" Many toilets don't even come with a seat. If you want a wood seat, buy one. The flow is strong and efficient. I've bought/installed many toilets and for the money, this is one of the best.",5,26,7,Positive
18,20,0.21205735,0.66155565,0.12638694,"Good height/elongated seat. More compact than a standard toilet. Flushes with much less water, which can be a good and a bad thing....",4,7,0,Neutral
19,21,0.13083485,0.29928762,0.5698775,"Toilet is okay, but did not come with the slow close lid",4,7,0,Positive
20,22,0.08554068,0.24309549,0.67136383,"It’s hard shopping for a toilet. It takes so much effort and time before you realize if you’ve made a good or bad decision. And no matter what toilet you see online at any price range you’ll find that ONE person who claims its a piece of crap. (Pun intended) I can honestly say I have no complaints about this toilet. I hired a handyman to install 2 of them in my house and he said I should buy that extra thick wax seal, but he end up not needing it because the seal that comes with this toilet it really good. One of the toilets was missing some seals for the bolts, and after we installed both toilets, one of them had a tiny leak coming out from one of the two bolts that holds the tank to the bowl. Ended up being a small imperfection in the porcelain, a little burr right where the washer needs to press down to seal it. We just scraped it off with a screwdriver and then it worked fine. So all in all I’m not raving and saying this is some amazing quality toilet, but it does exactly what I need it to do . A solid four stars.",4,11,2,Positive
21,23,0.53435373,0.37176913,0.09387715,Good product that is better than your standard toilet.,5,0,0,Negative
22,24,0.0021721113,0.007786122,0.99004173,Good toilet. unfortunately the seat isn't soft close as described on box.,4,15,3,Positive
23,25,0.059925757,0.25219333,0.68788093,"I love this toilet. I know it is only about two inches taller than the old one, but it makes a huge difference for me. It is well made and flushes like a dream. I am very pleased with this purchase.",5,5,0,Positive
24,26,0.01609684,0.069837935,0.91406524,"I like the chair height because the dramatic difference when sitting and standing and the elongated bowl is great for the guys. The plastic seat is not of the same ""caliber"" of ""quality as the rest of the toilet prompting the buyer to come back to purchase another toilet seat of better quality. It would have been nice to have that option even at additional reasonable cost and most likely self-closing.",4,3,0,Positive
25,27,0.50706637,0.36475244,0.1281812,"Works great - no trouble yet with any clogging issues but not expecting any as I have purchased American Standard in the past and have not had any problems. The only thing I would change if I could would be to have the seat a little wider for additional comfort, similar to Kohler. I would recommend and I would buy again. (have only had installed and used for a couple weeks at this point)",5,3,0,Negative
