Market_place,URL,Product_name,SKU,Price,Currency,Subject,Author,Date,Review,Stars,like,dislike
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,It’s a toilet,Megan,"December 11, 2021","Inexpensive toilet, seems to work fine. The seat is very uncomfortable however so I will be buying a new soft close seat that is hopefully more comfortable to sit on.. I don’t like that the tank sits out so far from the wall. Now I have a big gap and have to find something to cover that area because it looks ridiculous.",4,6.0,2.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,As Advertised,wilson,"December 3, 2019","With the mixed reviews I was expecting some kind of complication, but there was none. This was a self install, for my son's bathroom. Nothing broke or missing when unpacking (albeit the box was banged up). Instruction pamphlet was helpful, installed without problem. The pre-installed flush mechanism operates (after required adjustment) with no problem. Flushes well, only need to flush one time. It's been nearly one month since install and no problems thus far. The toilet seat is a bit flimsy but...",4,41.0,8.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Nice Toilet,codeman19us,"September 22, 2012","After doing research to find the best bang for my buck I purchased this toilet and I'm glad I did. I like the taller height, it seems weird to sit on the standard size after purchasing this toilet. After a couple months satisfaction and no problems I purchased 2 more to install in the other bathrooms. I would disagree with a few of the comments of having to flush twice, I have not had this trouble. The flush seems powerful to flush everything down so I'm not sure if they are commenting on the wrong toilet or maybe they don't have very high water pressure.......idk. I agree with everyone on the toilet seat that is supplied with the toilet, its junk!",5,119.0,15.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Great Value,Badlln,"February 25, 2017",I bought two of these to replace 16 year old toilets as my water bill is getting higher monthly in Florida. I put good wooden seats on them with silicone rings for protective support and have had no problems. I also purchased a jumble wax ring plus used the standard one for each toilet as set them on ceramic tile floors over a concrete foundation slab. I put a small squirt of Dawn liquid dish detergent in them and swirl the toilet brush around to clean them. I have hard water here without a water softener and have no rust stain or scaling issues like I did with my old toilets. The extra height makes a huge difference as we get older.,5,136.0,25.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,"Great product, great value",Handymanexpert,"April 18, 2012","I was looking for an ADA height compliant toilet. I purchased this one after extensive search for a good name brand, good features, and good value. Included with the toilet are the wax ring, hardware, and seat (the seat isn't too comfortable but you can get used to it) that make this an even better bang for my buck. 4 stars for the design b/c of the toilet seat. Otherwise, the toilet has an excellent design. Would purchase more of the same if the need arises. Pros: Excellent water circulation, quiet flush, one flush is all it takes, good design, easy installation, everclean bowl. Cons: None after daily use for 2 months.",5,167.0,23.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Big mistake,patience,"October 4, 2014","I like the facts that this toilet uses very little water and that it is chair height. I don't like the fact that it needs to be cleaned EVERY Day. When it flushes the water doesn't swirl like most toilets do. In stead of swirling it bubbles up. Looks pretty darn gross when there is solid waste in the bowl and this type of water action doesn't do much for cleaning the sides of the bowl, therefore It needs to be cleaned every day. There is just no force behind the water even when it goes into the bowl from the tank. I have had two previous low flow toilets in another residence and neither of them were as bad as this one. Wish I had chosen a different one.",1,81.0,19.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,American Standturd,Summer,"April 14, 2015","A couple of weeks ago we picked up this toilet after reading mostly good reviews. We needed a toilet with a minimal depth measurement for a small bathroom. We had it installed four days ago. The size was great, it was as good looking a toilet as any, and it was comfortable. Unfortunately, it did NOT get the job done. We made all of the appropriate adjustments but the level of flush power was never more than zero. It couldn't even take down one extra square of tp. Judging by the recent one star reviews this wasn't the only defective one. Thankfully Lowes let us return it and we spent a little more to get a functional toilet.",1,70.0,12.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Wouldn't Flush Properly,homeguy,"April 4, 2015","When flushing, it only filled the basin, but wouldn't flush the waste out. The only way it would flush was when we held the handle down. In speaking with American Standard, we determined that it must have a bad trap in the toilet itself. Very disappointing. The other reviews are decent (for the most part) so we must have gotten a lemon. Apart from that, this model doesn't clean itself really well. When flushing waste, it always leaves bits on the sides of the stool. In the 2 weeks we had it, we found that we had to continually clean the stool to keep it looking decent. In the end, we are obviously very disappointed.",1,28.0,2.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Piece of junk!,junk,"September 25, 2018","I had to replace my older toilet and found this one online. I wish I had never purchased it! As soon as my plumber left it start ""running."" I haven't had this piece of crap a week and the plumber has been here just about every other day for the same problem! Today he's replacing the ""guts"" in the tank. Everything is so cheaply made that different parts break as soon as you touch them! Then there is the seat . . . another cheap piece of crap! If you sit on the seat for longer than 30 seconds it practically rips the skin off the back of your thighs! If my plumber can't fix it today I'm be buying another toilet . . . made by Kohler!",1,20.0,6.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Should have bought a cheaper one,oldfart,"August 31, 2011","I read all the hype on the box and sounded impressive. Install was easy enough, no problems. Uses a lot less water than the old one of course since its new. was impressed reading about the no stain feature so that was the main reason to purchase this model. Well, waste still sticks to the bowl since it doesn't hold much water and the flush isn't enough to really clean the bowl. Could have got same poor flush with cheaper model I guess. Only had trouble flushing one time, which is far better than the old one of course. Still have to brush the water ring just like the old one, Wife likes the taller seat height which still works well. Its an ok unit but not at that price. Thats my 2 cents",3,62.0,10.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Bought 2 exactly the same.,Mick,"June 8, 2013",I bought two Mainstream White 1.28 GPF High Efficiency WaterSense Round 2-Piece Toilets. One flushes very well the other not good at all. You have to flush it about four times before it works. I know it is not the line because the old toilet flushed well. We remodeled two bathrooms and wanted high seat toilets so I purchased two of the same model. Now I have to take one back up and return it to Lowes for an exchange. I am not impressed with American Standard to say the least. This is a lot of trouble and expense on my part. I was told a cheaper model was just as good but I had confidence in American Standard. Boy was I wrong! It has been installed just four days now.,1,38.0,15.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Does what it needs to do,Greg,"November 6, 2011","The first time I flushed this after I installed it I was not sure it could handle everything on one flush, but after having it for a week, I never had a problem with it. In fact the toilet it replaced clogged up a lot, and used more water. This one never has so far, and it has flushed everything I have thrown at it. I am amazed that it can use so little water, the tank over flow is only half way to the top of the tank, but it does what it needs to do. I am so impressed, I just bought 2 more for my sisters house. The seat's a little flimsy, but big deal, 10 bucks takes care of that.",5,44.0,6.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Manufacture Defect,Tony,"February 1, 2014","I purchased this toilet to replace an old one which had developed a leak due to a crack in the tank. I installed it only to my dismay it had some sort of leak. No matter what I did, I found a small puddle of water on the floor the next day. I had to completely disassemble the unit, re-package it in the original box and return it to the store for an exchange. The store was extremely gracious and exchanged it with no problem. The only problem was the inconvenience of having to perform the job twice. The replacement toilet so far is performing well, no leaks.",4,27.0,1.0
lowes.com,https://www.lowes.com/pd/American-Standard-Mainstream-White-WaterSense-Round-Chair-Height-2-Piece-Toilet-12-in-Rough-In-Size/3286026,American Standard  Mainstream White Round Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #3472.128.020,159.0,USD,Does the job,DavidT,"December 25, 2011","We were looking for a taller toilet because my wife has had both knees replaced. After reading all the reviews we decided on this one and are very happy with the decision. Those who have reported poor flushing must have not adjusted the water level properly because we have not experienced any problems. Now there are only the two of us so I cannot comment on how it would be with a family of youngsters but it seems that it would be OK. The toilet seat is cheap but fortunately the old one, purchased new last year, fits well. The installation went well and I see no need for an extra wax ring, but you can always get one and take it back if not needed. Buy the way veterans and active military - show your card at checkout.",5,46.0,7.0
