	Market_place,URL,Product_name,SKU,Price,Currency,Subject,Author,Date,Review,Stars
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,Tiny pool of water in the bowl.,GreatAim,"Nov 22, 2022","I purchased 4 of these toilets for my new house. The pool of water in the bowl of 3 of them is very small, often resulting in solid waste being smeared well above the water line, where flushing will not easily remove it! One of the four toilets does have a ""normal sized"" pool of water. It is clear that it was not manufactured along with the other 3, it has different printing in the tank, despite having the same SKU number. I have included photos of both variations and their markings.",1
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,Cheap seat and lid,Dee2,"Sep 26, 2022","I recently bought the chair height, elongated toilet. This is the second one I bought, as I have one in my other bathroom I bought about 4 years ago. Since I didn’t have any issues with the first one I purchased another. Bad decision. The quality has really declined, cheap, flimsy seating and lid that will not stay connected, does not line up. Very disappointed ☹️ I guess this is why the toilets are displayed so high so you cannot check them out before you buy!",2
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,Nice color and sits at a great height for getting...,HomeDepotCustomer,"Jun 15, 2022",Nice color and sits at a great height for getting up and down Not happy with low water level...but its a water saving thing...so all in all its a good toilet....I didnt like the plastic seat so I changed it out for the one you see in the picture : )),4
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,Great Value / Nice Product,DENISE,"Feb 8, 2022","This toilet is a great value and looks and performs perfectly. It is high efficiency, quiet, and attractive.",5
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,Good value toilet,Tom_P,"Dec 25, 2021","Looks good - Easy install with no issues. The included wax seal has a plastic insert, no need to buy “no wax seal”’ that’s too high. Slight ceramic imperfection under seat lid. Flushes well - hold longer for solids. Seat is little cheap but works.",4
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,...,DANIEL,"Nov 10, 2021",,5
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,The only thing efficient is the malfunctioning.,Andrew,"Oct 25, 2021",Terrible product. Bowl won't stay full and the flushing power is WEAK. Unable to return now that installed. Home Depot should be ashamed at carrying such a horrible product. All the negative reviews have already covered the issues. Seat won't stay up.,1
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,Rating provided by a verified purchaser...,HomeDepotCustomer,"Jul 29, 2021",Rating provided by a verified purchaser,4
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,Very elegant in appearance and it is very comfortable. It was a little darker than I expected. I ...,DarkNLovely,"Apr 11, 2021","Very elegant in appearance and it is very comfortable. It was a little darker than I expected. I was trying to match what I was told was an almond colored tub but it works blends well with the other colors in my new bathroom. I cannot comment on the assembly because I had it professionally installed. However, I did not hear any complaints from the installer. It looks exactly like the picture. My only complaint, if you can call it a complaint is that sometimes I’ve noticed you may have to flush twice to ensure everything goes down. If it’s all liquids it all goes down with one flush. Ive only had it 1 month and so far no leaks and no other issues. I’m happy with my purchase.",4
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,Terrible,HB,"Mar 3, 2021",This toilet is way to high. The actual measurements do not match what the box says.,1
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,"Holes in Bowl, Seat wont stay up",Joesup,"Feb 22, 2021","The first thing I noticed were several holes in the porcelain on the front of the toilet bowl. See images. It would have been too much trouble to put everything back in the box and return it to the store. This unit should have never left the factory. Quality Control? Also, no matter what I do, I cant get the seat to stay up.",1
homedepot.com,https://www.homedepot.com/p/Glacier-Bay-2-Piece-1-28-GPF-High-Efficiency-Single-Flush-Elongated-Toilet-in-White-N2428E/204074796,2-Piece 1.28 GPF High Efficiency Single Flush Elongated Toilet in White,686826,119.0,USD,I'm 6'4 and my butt loves this taller than usual...,ROBERT,"Jan 12, 2021",I'm 6'4 and my butt loves this taller than usual toilet. The flush is more than sufficient enough to get all the business down. I the oval shape gives more room when sitting down.,5
